Site;Année;Mois;Semaine;Machine;Gaz (kWh);PE (kg)
PTWE35;2023.0;10.0;43;M1;0.0;11847.44
PTWE35;2023.0;10.0;43;M2;0.0;10264.32
PTWE35;2023.0;10.0;43;M3;0.0;10970.96
PTWE35;2023.0;10.0;43;M8;0.0;9534.887999999999
PTWE35;2023.0;10.0;43;RM2400;0.0;2655.0
PTWE35;2023.0;10.0;43;RM4500;0.0;4762.5599999999995
PTWE35;2023.0;10.0;44;F4B;0.0;200.5
PTWE35;2023.0;10.0;44;FB;0.0;216.0
PTWE35;2023.0;10.0;44;M1;0.0;1070.0
PTWE35;2023.0;10.0;44;M2;0.0;4336.639999999999
PTWE35;2023.0;10.0;44;M8;0.0;2664.2
PTWE35;2023.0;10.0;44;RM2400;0.0;615.0
PTWE35;2023.0;11.0;44;F3B;0.0;4.2
PTWE35;2023.0;11.0;44;F4B;0.0;1129.5
PTWE35;2023.0;11.0;44;M1;0.0;4624.52
PTWE35;2023.0;11.0;44;M2;0.0;8082.799999999999
PTWE35;2023.0;11.0;44;M8;0.0;2210.9120000000003
PTWE35;2023.0;11.0;44;RM2400;0.0;1222.5
PTWE35;2023.0;11.0;44;RM4500;0.0;616.0
PTWE35;2023.0;11.0;45;F3B;0.0;1173.1
PTWE35;2023.0;11.0;45;F4B;0.0;3672.0
PTWE35;2023.0;11.0;45;M1;0.0;8109.76
PTWE35;2023.0;11.0;45;M2;0.0;15121.04
PTWE35;2023.0;11.0;45;M3;0.0;2531.76
PTWE35;2023.0;11.0;45;M8;0.0;10353.464
PTWE35;2023.0;11.0;45;RM2400;0.0;4170.0
PTWE35;2023.0;11.0;45;RM4500;0.0;2949.76
PTWE35;2023.0;11.0;46;F3B;0.0;1741.0
PTWE35;2023.0;11.0;46;F4B;0.0;3413.75
PTWE35;2023.0;11.0;46;FB;0.0;684.0
PTWE35;2023.0;11.0;46;M1;0.0;4213.92
PTWE35;2023.0;11.0;46;M2;0.0;10897.92
PTWE35;2023.0;11.0;46;M3;0.0;10247.6
PTWE35;2023.0;11.0;46;M8;0.0;12813.36
PTWE35;2023.0;11.0;46;RM2400;0.0;3757.5
PTWE35;2023.0;11.0;46;RM4500;0.0;704.0
PTWE35;2023.0;11.0;47;F3B;0.0;1874.1
PTWE35;2023.0;11.0;47;F4B;0.0;2742.172
PTWE35;2023.0;11.0;47;M1;0.0;2210.72
PTWE35;2023.0;11.0;47;M2;0.0;7983.36
PTWE35;2023.0;11.0;47;M3;0.0;8439.2
PTWE35;2023.0;11.0;47;M8;0.0;7089.28
PTWE35;2023.0;11.0;47;RM2400;0.0;2739.0
PTWE35;2023.0;11.0;47;RM4500;0.0;2421.76
PTWE35;2023.0;11.0;48;F3B;0.0;2103.75
PTWE35;2023.0;11.0;48;F4B;0.0;2429.3
PTWE35;2023.0;11.0;48;FB;0.0;773.0
PTWE35;2023.0;11.0;48;M1;0.0;3913.3199999999997
PTWE35;2023.0;11.0;48;M2;0.0;14929.199999999999
PTWE35;2023.0;11.0;48;M3;0.0;2531.76
PTWE35;2023.0;11.0;48;M8;0.0;8371.704
PTWE35;2023.0;11.0;48;RM2400;0.0;2350.0
PTWE35;2023.0;11.0;48;RM4500;0.0;2752.64
PTWE35;2023.0;12.0;48;F3B;0.0;905.2
PTWE35;2023.0;12.0;48;F4B;0.0;1230.7
PTWE35;2023.0;12.0;48;FB;0.0;171.0
PTWE35;2023.0;12.0;48;M1;0.0;3037.76
PTWE35;2023.0;12.0;48;M2;0.0;3801.6000000000004
PTWE35;2023.0;12.0;48;M3;0.0;3978.4799999999996
PTWE35;2023.0;12.0;48;M8;0.0;4500.144
PTWE35;2023.0;12.0;48;RM2400;0.0;1230.0
PTWE35;2023.0;12.0;48;RM4500;0.0;704.0
PTWE35;2023.0;12.0;49;F3B;0.0;1240.9
PTWE35;2023.0;12.0;49;F4B;0.0;2014.1
PTWE35;2023.0;12.0;49;M1;0.0;2277.44
PTWE35;2023.0;12.0;49;M2;0.0;8363.52
PTWE35;2023.0;12.0;49;M3;0.0;8077.52
PTWE35;2023.0;12.0;49;M8;0.0;9358.008
PTWE35;2023.0;12.0;49;RM2400;0.0;3067.5
PTWE35;2023.0;12.0;49;RM4500;0.0;4664.0
PTWE35;2023.0;12.0;50;F3B;0.0;1521.85
PTWE35;2023.0;12.0;50;F4B;0.0;2925.0
PTWE35;2023.0;12.0;50;FB;0.0;612.0
PTWE35;2023.0;12.0;50;M1;0.0;5836.4400000000005
